:wmc,:dit,:noc,:cbo,:rfc,:lcom,:ca,:ce,:npm,:lcom3,:loc,:dam,:moa,:mfa,:cam,:ic,:cbm,:amc,:max_cc,:avg_cc,:bug
2.0,1.0,0.0,3.0,5.0,1.0,1.0,2.0,2.0,2.0,17.0,0.0,0.0,0.0,0.75,0.0,0.0,7.5,1.0,0.5,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,4.0,0.0,25.0,76.0,107.0,0.0,25.0,2.0,0.8100649,4098.0,0.4642857,0.0,0.6769231,0.27272728,1.0,2.0,175.95653,13.0,5.521739,0.0
4.0,6.0,0.0,9.0,13.0,4.0,0.0,9.0,1.0,1.0,43.0,0.0,0.0,0.9130435,0.5555556,2.0,2.0,9.0,1.0,0.5,0.0
2.0,3.0,0.0,10.0,13.0,1.0,0.0,10.0,2.0,2.0,37.0,0.0,0.0,0.85714287,0.625,1.0,1.0,17.5,1.0,0.5,0.0
1.0,1.0,0.0,5.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
4.0,6.0,0.0,8.0,13.0,4.0,0.0,8.0,1.0,1.0,42.0,0.0,0.0,0.9166667,0.5555556,2.0,2.0,8.75,1.0,0.5,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,3.0,0.0,16.0,31.0,1.0,0.0,16.0,2.0,2.0,131.0,0.0,0.0,0.85714287,0.625,1.0,1.0,64.5,1.0,0.5,0.0
6.0,3.0,0.0,14.0,37.0,15.0,1.0,14.0,2.0,0.8,171.0,0.0,0.0,0.7916667,0.3809524,0.0,0.0,27.166666,5.0,2.1666667,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,2.0,16.0,20.0,39.0,31.0,16.0,4.0,5.0,0.9382716,324.0,0.44444445,0.0,0.33333334,0.3888889,1.0,2.0,30.5,8.0,1.6,0.0
4.0,5.0,0.0,25.0,39.0,4.0,0.0,25.0,1.0,0.93939394,663.0,0.18181819,0.0,0.9375,0.75,2.0,4.0,162.0,1.0,0.75,0.0
5.0,5.0,0.0,8.0,12.0,10.0,0.0,8.0,1.0,2.0,28.0,0.0,0.0,0.8888889,0.7,2.0,4.0,4.6,1.0,0.8,1.0
4.0,1.0,0.0,11.0,31.0,2.0,0.0,11.0,1.0,0.6666667,153.0,0.5,0.0,0.0,0.33333334,0.0,0.0,36.25,9.0,2.75,0.0
2.0,3.0,0.0,14.0,17.0,1.0,0.0,14.0,2.0,2.0,72.0,0.0,0.0,0.85714287,0.625,1.0,1.0,35.0,1.0,0.5,1.0
2.0,3.0,0.0,20.0,21.0,1.0,0.0,20.0,2.0,1.0,87.0,0.0,0.0,0.85714287,0.625,1.0,1.0,42.0,1.0,0.5,0.0
22.0,6.0,9.0,57.0,122.0,231.0,9.0,48.0,2.0,0.95238096,1781.0,0.0,0.0,0.5116279,0.17045455,2.0,3.0,79.86364,10.0,1.4090909,1.0
2.0,3.0,0.0,27.0,41.0,1.0,0.0,27.0,2.0,1.0,239.0,0.0,0.0,0.85714287,0.625,1.0,1.0,116.0,9.0,4.5,0.0
2.0,3.0,0.0,14.0,10.0,1.0,0.0,14.0,2.0,2.0,44.0,0.0,0.0,0.85714287,0.625,1.0,1.0,21.0,1.0,0.5,0.0
2.0,3.0,0.0,8.0,10.0,1.0,0.0,8.0,2.0,2.0,37.0,0.0,0.0,0.85714287,0.625,1.0,1.0,17.5,1.0,0.5,0.0
3.0,2.0,0.0,5.0,14.0,1.0,0.0,5.0,2.0,0.75,39.0,0.5,0.0,0.9705882,0.6,0.0,0.0,11.333333,1.0,0.33333334,0.0
5.0,6.0,0.0,8.0,14.0,8.0,0.0,8.0,1.0,1.0,45.0,0.0,0.0,0.875,0.5,2.0,2.0,7.4,1.0,0.6,0.0
3.0,1.0,0.0,15.0,82.0,1.0,3.0,12.0,1.0,0.75,300.0,0.5,0.0,0.0,0.5,0.0,0.0,98.333336,9.0,3.0,0.0
3.0,3.0,0.0,13.0,16.0,1.0,0.0,13.0,2.0,1.0,83.0,1.0,0.0,0.85714287,0.625,1.0,1.0,26.0,1.0,0.33333334,0.0
6.0,4.0,0.0,17.0,25.0,15.0,0.0,17.0,1.0,1.0,122.0,0.0,0.0,0.85294116,0.4047619,1.0,2.0,19.0,3.0,1.5,0.0
2.0,3.0,0.0,18.0,20.0,1.0,0.0,18.0,2.0,1.0,80.0,0.0,0.0,0.85714287,0.625,1.0,1.0,38.5,1.0,0.5,0.0
51.0,1.0,2.0,6.0,52.0,1125.0,2.0,4.0,51.0,0.96,329.0,0.0,0.0,0.0,0.16557734,0.0,0.0,4.9607844,1.0,0.98039216,0.0
2.0,4.0,0.0,9.0,21.0,1.0,0.0,9.0,1.0,1.25,100.0,0.25,0.0,0.9787234,0.75,2.0,2.0,47.0,9.0,4.5,0.0
2.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,0.6666667,0.0,0.0,2.5,1.0,0.5,0.0
18.0,1.0,0.0,29.0,52.0,69.0,23.0,7.0,15.0,1.0117648,896.0,0.18,0.0,0.0,0.29411766,0.0,0.0,46.0,19.0,3.2222223,0.0
2.0,4.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,7.0,0.0,0.0,0.875,1.0,1.0,2.0,2.5,1.0,0.5,0.0
7.0,4.0,1.0,30.0,55.0,19.0,2.0,28.0,3.0,1.0,323.0,0.0,0.0,0.85294116,0.5,2.0,2.0,44.57143,1.0,0.71428573,0.0
2.0,5.0,0.0,23.0,58.0,1.0,0.0,23.0,1.0,1.0,539.0,0.0,0.0,0.98,0.6666667,1.0,1.0,265.5,23.0,11.5,0.0
2.0,3.0,0.0,16.0,15.0,1.0,0.0,16.0,2.0,2.0,54.0,0.0,0.0,0.85714287,0.625,1.0,1.0,26.0,1.0,0.5,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,8.0,0.0,5.0,5.0,1.0,0.0,5.0,1.0,2.0,10.0,0.0,0.0,0.96666664,0.75,1.0,1.0,3.5,1.0,0.5,0.0
1.0,3.0,0.0,3.0,2.0,0.0,1.0,2.0,1.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0
2.0,1.0,0.0,6.0,32.0,0.0,0.0,6.0,2.0,0.0,233.0,1.0,0.0,0.0,1.0,0.0,0.0,115.0,1.0,0.5,0.0
2.0,4.0,0.0,25.0,16.0,1.0,0.0,25.0,2.0,2.0,79.0,0.0,0.0,0.93333334,0.6,1.0,1.0,38.5,1.0,0.5,0.0
10.0,5.0,0.0,2.0,41.0,23.0,0.0,2.0,3.0,1.075075,993.0,0.08108108,0.0,0.71875,0.28,3.0,10.0,94.6,53.0,6.8,0.0
3.0,4.0,0.0,4.0,13.0,3.0,0.0,4.0,1.0,2.0,40.0,0.0,0.0,0.95652175,0.5555556,2.0,4.0,12.333333,2.0,1.0,0.0
2.0,3.0,0.0,11.0,9.0,1.0,0.0,11.0,2.0,2.0,30.0,0.0,0.0,0.85714287,0.625,1.0,1.0,14.0,1.0,0.5,0.0
2.0,3.0,0.0,16.0,23.0,1.0,0.0,16.0,2.0,2.0,90.0,1.0,0.0,0.85714287,0.625,1.0,1.0,43.5,1.0,0.5,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,4.0,0.0,2.0,22.0,3.0,0.0,2.0,2.0,2.0,102.0,0.0,0.0,0.8947368,1.0,2.0,2.0,33.0,8.0,3.0,0.0
2.0,3.0,0.0,21.0,24.0,1.0,0.0,21.0,2.0,1.0,93.0,0.0,0.0,0.85714287,0.625,1.0,1.0,45.0,1.0,0.5,0.0
5.0,5.0,0.0,17.0,34.0,8.0,1.0,16.0,3.0,1.0,181.0,0.0,0.0,0.9423077,0.5,4.0,10.0,34.6,1.0,0.6,1.0
2.0,3.0,0.0,11.0,14.0,1.0,0.0,11.0,2.0,2.0,51.0,0.0,0.0,0.85714287,0.625,1.0,1.0,24.5,1.0,0.5,0.0
2.0,3.0,0.0,16.0,13.0,1.0,0.0,16.0,2.0,2.0,44.0,1.0,0.0,0.9583333,0.6666667,2.0,2.0,20.5,1.0,0.5,0.0
2.0,3.0,0.0,23.0,20.0,1.0,0.0,23.0,2.0,1.0,67.0,0.0,0.0,0.85714287,0.625,1.0,1.0,32.0,1.0,0.5,0.0
8.0,2.0,0.0,6.0,20.0,0.0,3.0,3.0,8.0,0.42857143,92.0,1.0,1.0,0.72,0.45833334,0.0,0.0,10.25,4.0,1.25,0.0
2.0,3.0,0.0,16.0,24.0,1.0,0.0,16.0,2.0,1.0,142.0,0.0,0.0,0.85714287,0.625,1.0,1.0,68.5,13.0,6.5,0.0
1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0
3.0,1.0,0.0,21.0,34.0,3.0,0.0,21.0,3.0,2.0,128.0,0.0,0.0,0.0,0.7777778,0.0,0.0,41.666668,1.0,0.6666667,0.0
6.0,4.0,0.0,28.0,91.0,9.0,4.0,24.0,4.0,0.93333334,320.0,0.0,0.0,0.87096775,0.55,3.0,5.0,51.833332,2.0,0.8333333,1.0
2.0,3.0,0.0,9.0,9.0,1.0,0.0,9.0,2.0,2.0,38.0,0.0,0.0,0.85714287,0.625,1.0,1.0,18.0,1.0,0.5,0.0
0.0,1.0,0.0,522.0,0.0,0.0,522.0,0.0,0.0,2.0,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0
15.0,2.0,0.0,9.0,33.0,103.0,2.0,7.0,15.0,0.9285714,138.0,1.0,1.0,0.58064514,0.29333332,0.0,0.0,8.133333,2.0,0.93333334,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,3.0,0.0,15.0,15.0,1.0,0.0,15.0,2.0,2.0,56.0,0.0,0.0,0.85714287,0.625,1.0,1.0,27.0,1.0,0.5,0.0
6.0,5.0,0.0,22.0,50.0,3.0,4.0,18.0,5.0,0.8666667,220.0,0.0,0.0,0.9245283,0.5,4.0,8.0,35.166668,2.0,0.8333333,0.0
3.0,2.0,0.0,17.0,23.0,1.0,0.0,17.0,2.0,0.5,85.0,1.0,0.0,0.8,0.6666667,1.0,1.0,27.0,1.0,0.33333334,0.0
2.0,4.0,0.0,20.0,13.0,1.0,0.0,20.0,2.0,2.0,50.0,0.0,0.0,0.93333334,0.6,1.0,1.0,24.0,1.0,0.5,0.0
2.0,3.0,0.0,7.0,5.0,1.0,0.0,7.0,2.0,2.0,18.0,0.0,0.0,0.85714287,0.625,1.0,1.0,8.0,1.0,0.5,0.0
2.0,3.0,0.0,14.0,20.0,1.0,0.0,14.0,2.0,2.0,65.0,0.0,0.0,0.85714287,0.625,2.0,2.0,31.5,1.0,0.5,0.0
5.0,2.0,2.0,16.0,34.0,0.0,2.0,14.0,4.0,0.625,245.0,0.5,0.0,0.9166667,0.39285713,0.0,0.0,47.6,8.0,2.8,0.0
2.0,3.0,0.0,22.0,30.0,1.0,0.0,22.0,2.0,2.0,152.0,0.0,0.0,0.85714287,0.625,1.0,1.0,75.0,1.0,0.5,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,3.0,0.0,8.0,13.0,3.0,0.0,8.0,3.0,2.0,47.0,0.0,0.0,0.9047619,0.7777778,0.0,0.0,14.666667,2.0,1.0,0.0
6.0,4.0,0.0,20.0,26.0,15.0,0.0,20.0,1.0,1.0,93.0,0.0,0.0,0.85294116,0.4047619,1.0,2.0,14.333333,3.0,1.3333334,0.0
5.0,5.0,0.0,10.0,12.0,10.0,0.0,10.0,1.0,2.0,43.0,0.0,0.0,0.8888889,0.7,2.0,4.0,7.6,4.0,1.4,0.0
6.0,6.0,0.0,12.0,19.0,9.0,0.0,12.0,1.0,0.93333334,69.0,0.0,0.0,0.84,0.73333335,2.0,3.0,10.0,1.0,0.6666667,0.0
6.0,6.0,0.0,17.0,20.0,3.0,0.0,17.0,1.0,0.8666667,75.0,0.0,0.0,0.84615386,0.73333335,2.0,3.0,11.0,1.0,0.6666667,0.0
5.0,6.0,0.0,25.0,49.0,8.0,1.0,24.0,3.0,1.0,232.0,0.0,0.0,0.94736844,0.45,5.0,13.0,44.8,7.0,1.8,0.0
4.0,5.0,0.0,11.0,19.0,4.0,0.0,11.0,3.0,1.0,75.0,0.0,0.0,0.9607843,0.5555556,4.0,9.0,17.0,1.0,0.5,0.0
2.0,3.0,0.0,12.0,16.0,1.0,0.0,12.0,2.0,2.0,52.0,0.0,0.0,0.85714287,0.625,1.0,1.0,25.0,1.0,0.5,0.0
5.0,3.0,0.0,27.0,29.0,10.0,0.0,27.0,2.0,2.0,184.0,0.0,0.0,0.6,0.68,1.0,1.0,35.8,1.0,0.8,1.0
3.0,1.0,0.0,5.0,11.0,3.0,0.0,5.0,2.0,1.0,89.0,0.0,0.0,0.0,0.33333334,0.0,0.0,27.333334,5.0,2.0,0.0
5.0,4.0,0.0,24.0,47.0,8.0,3.0,21.0,3.0,1.0625,394.0,0.0,0.0,0.90625,0.5,2.0,2.0,77.0,1.0,0.6,1.0
6.0,6.0,0.0,23.0,27.0,3.0,0.0,23.0,1.0,0.8666667,119.0,0.0,0.0,0.84,0.73333335,2.0,3.0,18.333334,1.0,0.6666667,0.0
4.0,1.0,0.0,11.0,24.0,4.0,1.0,10.0,2.0,0.8333333,96.0,0.5,0.0,0.0,0.44444445,0.0,0.0,22.5,1.0,0.5,1.0
2.0,3.0,0.0,17.0,15.0,1.0,0.0,17.0,2.0,2.0,55.0,0.0,0.0,0.85714287,0.625,1.0,1.0,26.5,1.0,0.5,0.0
4.0,3.0,0.0,4.0,17.0,6.0,0.0,4.0,1.0,1.0,189.0,0.0,0.0,0.9302326,0.5,2.0,3.0,46.0,5.0,1.75,0.0
3.0,4.0,0.0,10.0,33.0,3.0,0.0,10.0,2.0,1.125,195.0,0.0,0.0,0.9583333,0.44444445,2.0,2.0,62.666668,18.0,9.0,0.0
14.0,1.0,0.0,4.0,69.0,0.0,3.0,2.0,9.0,0.7802198,547.0,0.85714287,1.0,0.0,0.35384616,0.0,0.0,37.57143,8.0,2.0714285,0.0
8.0,1.0,0.0,5.0,61.0,22.0,1.0,4.0,1.0,0.9480519,632.0,0.18181819,0.0,0.0,0.23809524,0.0,0.0,76.625,10.0,5.25,0.0
5.0,3.0,3.0,11.0,27.0,10.0,3.0,8.0,1.0,1.0,259.0,0.0,0.0,0.90909094,0.45,2.0,5.0,50.6,6.0,1.8,0.0
7.0,1.0,0.0,2.0,49.0,3.0,1.0,2.0,3.0,0.75,459.0,0.0,0.0,0.0,0.45833334,0.0,0.0,62.857143,4.0,2.0,0.0
